trait1	trait2	n_species_overlap	phi	p_value
animal parasites or symbionts	reductive acetogenesis	19		
animal parasites or symbionts	acetate oxidation	80		
animal parasites or symbionts	lactate oxidation	93		
animal parasites or symbionts	chemoheterotrophy	981		
animal parasites or symbionts	alginate degradation	19		
animal parasites or symbionts	pectin degradation	26		
animal parasites or symbionts	collagen degradation	31		
animal parasites or symbionts	anaerobic chemoheterotrophy	578		
animal parasites or symbionts	obligate anaerobes	937		
animal parasites or symbionts	facultative anaerobes	658		
animal parasites or symbionts	sulfur reduction	285		
plant pathogen	oil bioremediation	12		
plant pathogen	aromatic hydrocarbon degradation	12		
plant pathogen	aromatic compound degradation	16		
plant pathogen	aliphatic non methane hydrocarbon degradation	4		
plant pathogen	hydrocarbon degradation	12		
plant pathogen	dark iron oxidation	0		
plant pathogen	iron oxidation	0		
plant pathogen	iron respiration	88		
plant pathogen	nitrate respiration	116		
plant pathogen	nitrate reduction	116		
plant pathogen	nitrogen respiration	98		
plant pathogen	fumarate respiration	87		
plant pathogen	intracellular parasites	1		
plant pathogen	chlorate reducers	2		
plant pathogen	predatory or exoparasitic	0		
plant pathogen	anoxygenic photoautotrophy H2 oxidizing	69		
plant pathogen	anoxygenic photoautotrophy S oxidizing	69		
plant pathogen	anoxygenic photoautotrophy Fe oxidizing	69		
plant pathogen	anoxygenic photoautotrophy	69		
plant pathogen	oxygenic photoautotrophy	219		
plant pathogen	photoautotrophy	69		
plant pathogen	aerobic anoxygenic phototrophy	70		
plant pathogen	photoheterotrophy	69		
plant pathogen	phototrophy	69		
plant pathogen	plastic degradation	16		
plant pathogen	ureolysis	94		
plant pathogen	reductive acetogenesis	9		
plant pathogen	acetate oxidation	24		
plant pathogen	lactate oxidation	22		
plant pathogen	chemoheterotrophy	195		
plant pathogen	alginate degradation	1		
plant pathogen	pectin degradation	28		
plant pathogen	collagen degradation	4		
plant pathogen	anaerobic chemoheterotrophy	103		
plant pathogen	obligate anaerobes	189		
plant pathogen	facultative anaerobes	129		
plant pathogen	sulfur reduction	73		
oil bioremediation	aromatic hydrocarbon degradation	26		
oil bioremediation	aliphatic non methane hydrocarbon degradation	26		
oil bioremediation	dark iron oxidation	0		
oil bioremediation	iron oxidation	1		
oil bioremediation	iron respiration	50		
oil bioremediation	fumarate respiration	49		
oil bioremediation	intracellular parasites	0		
oil bioremediation	chlorate reducers	0		
oil bioremediation	predatory or exoparasitic	0		
oil bioremediation	anoxygenic photoautotrophy H2 oxidizing	31		
oil bioremediation	anoxygenic photoautotrophy S oxidizing	30		
oil bioremediation	anoxygenic photoautotrophy Fe oxidizing	30		
oil bioremediation	anoxygenic photoautotrophy	32		
oil bioremediation	oxygenic photoautotrophy	171		
oil bioremediation	photoautotrophy	33		
oil bioremediation	aerobic anoxygenic phototrophy	31		
oil bioremediation	photoheterotrophy	30		
oil bioremediation	phototrophy	32		
oil bioremediation	plastic degradation	31		
oil bioremediation	reductive acetogenesis	6		
oil bioremediation	acetate oxidation	42		
oil bioremediation	alginate degradation	2		
oil bioremediation	pectin degradation	6		
oil bioremediation	collagen degradation	6		
oil bioremediation	obligate anaerobes	149		
oil bioremediation	facultative anaerobes	67		
oil bioremediation	sulfur reduction	34		
aromatic hydrocarbon degradation	dark iron oxidation	3		
aromatic hydrocarbon degradation	iron oxidation	3		
aromatic hydrocarbon degradation	iron respiration	161		
aromatic hydrocarbon degradation	fumarate respiration	185		
aromatic hydrocarbon degradation	intracellular parasites	0		
aromatic hydrocarbon degradation	chlorate reducers	1		
aromatic hydrocarbon degradation	predatory or exoparasitic	0		
aromatic hydrocarbon degradation	anoxygenic photoautotrophy H2 oxidizing	93		
aromatic hydrocarbon degradation	anoxygenic photoautotrophy S oxidizing	94		
aromatic hydrocarbon degradation	anoxygenic photoautotrophy Fe oxidizing	92		
aromatic hydrocarbon degradation	anoxygenic photoautotrophy	94		
aromatic hydrocarbon degradation	oxygenic photoautotrophy	379		
aromatic hydrocarbon degradation	photoautotrophy	94		
aromatic hydrocarbon degradation	aerobic anoxygenic phototrophy	101		
aromatic hydrocarbon degradation	photoheterotrophy	95		
aromatic hydrocarbon degradation	phototrophy	95		
aromatic hydrocarbon degradation	plastic degradation	26		
aromatic hydrocarbon degradation	reductive acetogenesis	6		
aromatic hydrocarbon degradation	alginate degradation	116		
aromatic hydrocarbon degradation	pectin degradation	110		
aromatic hydrocarbon degradation	collagen degradation	63		
aromatic hydrocarbon degradation	obligate anaerobes	367		
aromatic hydrocarbon degradation	sulfur reduction	68		
aromatic compound degradation	dark iron oxidation	4		
aromatic compound degradation	iron oxidation	4		
aromatic compound degradation	iron respiration	445		
aromatic compound degradation	fumarate respiration	480		
aromatic compound degradation	intracellular parasites	0		
aromatic compound degradation	chlorate reducers	2		
aromatic compound degradation	predatory or exoparasitic	1		
aromatic compound degradation	anoxygenic photoautotrophy H2 oxidizing	179		
aromatic compound degradation	anoxygenic photoautotrophy S oxidizing	180		
aromatic compound degradation	anoxygenic photoautotrophy Fe oxidizing	178		
aromatic compound degradation	anoxygenic photoautotrophy	180		
aromatic compound degradation	oxygenic photoautotrophy	1072		
aromatic compound degradation	photoautotrophy	183		
aromatic compound degradation	aerobic anoxygenic phototrophy	206		
aromatic compound degradation	reductive acetogenesis	48		
aromatic compound degradation	collagen degradation	67		
aliphatic non methane hydrocarbon degradation	dark iron oxidation	0		
aliphatic non methane hydrocarbon degradation	iron oxidation	1		
aliphatic non methane hydrocarbon degradation	iron respiration	133		
aliphatic non methane hydrocarbon degradation	fumarate respiration	132		
aliphatic non methane hydrocarbon degradation	intracellular parasites	0		
aliphatic non methane hydrocarbon degradation	chlorate reducers	0		
aliphatic non methane hydrocarbon degradation	predatory or exoparasitic	0		
aliphatic non methane hydrocarbon degradation	anoxygenic photoautotrophy H2 oxidizing	45		
aliphatic non methane hydrocarbon degradation	anoxygenic photoautotrophy S oxidizing	45		
aliphatic non methane hydrocarbon degradation	anoxygenic photoautotrophy Fe oxidizing	45		
aliphatic non methane hydrocarbon degradation	anoxygenic photoautotrophy	45		
aliphatic non methane hydrocarbon degradation	oxygenic photoautotrophy	205		
aliphatic non methane hydrocarbon degradation	photoautotrophy	45		
aliphatic non methane hydrocarbon degradation	aerobic anoxygenic phototrophy	47		
aliphatic non methane hydrocarbon degradation	photoheterotrophy	44		
aliphatic non methane hydrocarbon degradation	phototrophy	44		
aliphatic non methane hydrocarbon degradation	plastic degradation	24		
aliphatic non methane hydrocarbon degradation	reductive acetogenesis	1		
aliphatic non methane hydrocarbon degradation	alginate degradation	62		
aliphatic non methane hydrocarbon degradation	pectin degradation	64		
aliphatic non methane hydrocarbon degradation	collagen degradation	62		
aliphatic non methane hydrocarbon degradation	obligate anaerobes	204		
aliphatic non methane hydrocarbon degradation	sulfur reduction	26		
hydrocarbon degradation	dark iron oxidation	2		
hydrocarbon degradation	iron oxidation	3		
hydrocarbon degradation	iron respiration	218		
hydrocarbon degradation	fumarate respiration	227		
hydrocarbon degradation	intracellular parasites	0		
hydrocarbon degradation	chlorate reducers	1		
hydrocarbon degradation	predatory or exoparasitic	0		
hydrocarbon degradation	anoxygenic photoautotrophy H2 oxidizing	94		
hydrocarbon degradation	anoxygenic photoautotrophy S oxidizing	95		
hydrocarbon degradation	anoxygenic photoautotrophy Fe oxidizing	93		
hydrocarbon degradation	anoxygenic photoautotrophy	95		
hydrocarbon degradation	oxygenic photoautotrophy	428		
hydrocarbon degradation	photoautotrophy	96		
hydrocarbon degradation	aerobic anoxygenic phototrophy	102		
hydrocarbon degradation	photoheterotrophy	96		
hydrocarbon degradation	phototrophy	96		
hydrocarbon degradation	reductive acetogenesis	8		
hydrocarbon degradation	alginate degradation	87		
hydrocarbon degradation	pectin degradation	79		
hydrocarbon degradation	collagen degradation	64		
hydrocarbon degradation	obligate anaerobes	408		
dark iron oxidation	iron respiration	39		
dark iron oxidation	nitrate respiration	66		
dark iron oxidation	nitrogen respiration	44		
dark iron oxidation	fumarate respiration	35		
dark iron oxidation	intracellular parasites	0		
dark iron oxidation	chlorate reducers	1		
dark iron oxidation	predatory or exoparasitic	0		
dark iron oxidation	anoxygenic photoautotrophy H2 oxidizing	94		
dark iron oxidation	anoxygenic photoautotrophy S oxidizing	102		
dark iron oxidation	anoxygenic photoautotrophy Fe oxidizing	87		
dark iron oxidation	anoxygenic photoautotrophy	104		
dark iron oxidation	oxygenic photoautotrophy	198		
dark iron oxidation	photoautotrophy	105		
dark iron oxidation	aerobic anoxygenic phototrophy	104		
dark iron oxidation	photoheterotrophy	90		
dark iron oxidation	phototrophy	107		
dark iron oxidation	plastic degradation	18		
dark iron oxidation	ureolysis	37		
dark iron oxidation	reductive acetogenesis	4		
dark iron oxidation	acetate oxidation	88		
dark iron oxidation	alginate degradation	3		
dark iron oxidation	pectin degradation	0		
dark iron oxidation	collagen degradation	17		
dark iron oxidation	anaerobic chemoheterotrophy	105		
dark iron oxidation	obligate anaerobes	122		
dark iron oxidation	sulfur reduction	53		
iron oxidation	iron respiration	50		
iron oxidation	fumarate respiration	36		
iron oxidation	intracellular parasites	0		
iron oxidation	chlorate reducers	1		
iron oxidation	predatory or exoparasitic	0		
iron oxidation	anoxygenic photoautotrophy H2 oxidizing	44		
iron oxidation	anoxygenic photoautotrophy S oxidizing	44		
iron oxidation	anoxygenic photoautotrophy Fe oxidizing	46		
iron oxidation	anoxygenic photoautotrophy	47		
iron oxidation	oxygenic photoautotrophy	151		
iron oxidation	photoautotrophy	47		
iron oxidation	aerobic anoxygenic phototrophy	51		
iron oxidation	photoheterotrophy	42		
iron oxidation	phototrophy	46		
iron oxidation	plastic degradation	18		
iron oxidation	ureolysis	41		
iron oxidation	reductive acetogenesis	2		
iron oxidation	alginate degradation	3		
iron oxidation	pectin degradation	0		
iron oxidation	collagen degradation	17		
iron oxidation	obligate anaerobes	122		
iron oxidation	sulfur reduction	64		
iron respiration	intracellular parasites	2		
iron respiration	chlorate reducers	8		
iron respiration	predatory or exoparasitic	8		
iron respiration	anoxygenic photoautotrophy H2 oxidizing	861		
iron respiration	anoxygenic photoautotrophy S oxidizing	871		
iron respiration	anoxygenic photoautotrophy Fe oxidizing	852		
iron respiration	anoxygenic photoautotrophy	872		
iron respiration	oxygenic photoautotrophy	3733		
iron respiration	photoautotrophy	891		
iron respiration	aerobic anoxygenic phototrophy	1041		
iron respiration	photoheterotrophy	851		
iron respiration	phototrophy	857		
iron respiration	plastic degradation	78		
iron respiration	ureolysis	2137		
iron respiration	reductive acetogenesis	321		
iron respiration	alginate degradation	208		
iron respiration	pectin degradation	221		
iron respiration	collagen degradation	76		
nitrate respiration	intracellular parasites	57		
nitrate respiration	chlorate reducers	11		
nitrate respiration	predatory or exoparasitic	8		
nitrate respiration	anoxygenic photoautotrophy H2 oxidizing	1178		
nitrate respiration	anoxygenic photoautotrophy S oxidizing	1191		
nitrate respiration	anoxygenic photoautotrophy Fe oxidizing	1160		
nitrate respiration	oxygenic photoautotrophy	7181		
nitrate respiration	aerobic anoxygenic phototrophy	1730		
nitrate respiration	photoheterotrophy	1167		
nitrate respiration	reductive acetogenesis	367		
nitrate respiration	alginate degradation	297		
nitrate respiration	pectin degradation	388		
nitrate respiration	collagen degradation	97		
nitrate reduction	intracellular parasites	57		
nitrate reduction	chlorate reducers	21		
nitrate reduction	predatory or exoparasitic	3		
nitrate reduction	anoxygenic photoautotrophy H2 oxidizing	1180		
nitrate reduction	anoxygenic photoautotrophy Fe oxidizing	1166		
nitrate reduction	oxygenic photoautotrophy	8503		
nitrogen respiration	intracellular parasites	7		
nitrogen respiration	chlorate reducers	11		
nitrogen respiration	predatory or exoparasitic	8		
nitrogen respiration	anoxygenic photoautotrophy H2 oxidizing	979		
nitrogen respiration	anoxygenic photoautotrophy Fe oxidizing	966		
nitrogen respiration	oxygenic photoautotrophy	4182		
nitrogen respiration	aerobic anoxygenic phototrophy	1112		
nitrogen respiration	reductive acetogenesis	320		
nitrogen respiration	alginate degradation	222		
nitrogen respiration	pectin degradation	242		
nitrogen respiration	collagen degradation	88		
fumarate respiration	intracellular parasites	2		
fumarate respiration	chlorate reducers	6		
fumarate respiration	predatory or exoparasitic	8		
fumarate respiration	anoxygenic photoautotrophy H2 oxidizing	881		
